Store ID ,Country,Store_Area,Items_Available,Daily_Customer_Count,Store_Sales
STORE001,India,1659,1961,530,66490
STORE001,India,1461,1752,210,39820
STORE001,India,1340,1609,720,54010
STORE001,India,1451,1748,620,53730
STORE001,India,1770,2111,450,46620
STORE001,India,1442,1733,760,45260
STORE001,India,1542,1858,1030,72240
STORE001,India,1261,1507,1020,37720
STORE001,India,1090,1321,680,46310
STORE001,India,1030,1235,1130,44150
STORE001,India,1187,1439,1090,71280
STORE001,India,1751,2098,720,57620
STORE001,India,1746,2064,1050,60470
STORE001,India,1615,1931,1160,59130
STORE001,India,1469,1756,770,66360
STORE001,India,1644,1950,790,78870
STORE001,India,1578,1907,1440,77250
STORE001,India,1703,2045,670,38170
STORE001,India,1438,1731,1030,63540
STORE001,India,1940,2340,980,40190
STORE001,India,1421,1700,370,43460
STORE001,India,1458,1746,690,68890
STORE001,India,1719,2065,950,52780
STORE001,India,1449,1752,620,50680
STORE001,India,1234,1488,840,41880
STORE001,India,1732,2073,820,70050
STORE001,India,1475,1777,1100,25820
STORE001,India,1390,1648,980,60530
STORE001,India,1642,1943,710,78100
STORE001,India,1715,2071,650,84860
STORE001,India,1439,1746,990,80140
STORE001,India,1250,1508,990,14920
STORE001,India,1331,1608,880,60460
STORE001,India,1784,2163,620,74560
STORE001,India,1375,1648,1020,72430
STORE001,India,1871,2230,700,45460
STORE001,India,1442,1744,610,41570
STORE001,India,1174,1411,1080,62870
STORE001,India,1839,2204,1010,55170
STORE001,India,1270,1516,10,45480
STORE001,India,1435,1725,1250,49550
STORE001,India,965,1152,600,48140
STORE001,India,1665,2001,730,67640
STORE001,India,1780,2117,780,39730
STORE001,India,1009,1194,520,35800
STORE001,India,1227,1471,870,49270
STORE001,India,1769,2087,690,66510
STORE001,India,1660,1982,910,62530
STORE001,India,1472,1776,1260,59980
STORE001,India,1408,1688,1040,76350
STORE001,India,1514,1820,910,81820
STORE001,India,1565,1880,1300,57830
STORE001,India,1074,1288,320,70450
STORE001,India,1864,2240,530,67000
STORE001,India,1570,1898,980,64090
STORE001,India,1417,1701,740,48670
STORE001,India,1734,2060,1240,66210
STORE001,India,1470,1763,1080,83660
STORE001,India,1761,2104,1080,70770
STORE001,India,1756,2070,460,53870
STORE001,India,1704,2045,300,71300
STORE001,India,2011,2391,530,46100
STORE001,India,1472,1748,600,49100
STORE001,India,1310,1561,860,65920
STORE001,India,1544,1821,590,58660
STORE001,India,1707,2052,920,69130
STORE001,India,1881,2262,570,49080
STORE001,India,1416,1681,290,72710
STORE001,India,1631,1941,650,33430
STORE001,India,1318,1576,710,42430
STORE001,India,1692,2019,850,56650
STORE001,India,1152,1380,530,33580
STORE001,India,891,1073,630,67370
STORE001,India,1468,1749,700,71780
STORE001,India,1539,1833,650,84840
STORE001,India,1635,1956,720,82070
STORE001,India,1267,1520,450,26770
STORE001,India,1250,1475,1390,65560
STORE001,India,1720,2044,960,38660
STORE001,India,1462,1761,600,65660
STORE001,India,1431,1711,620,40700
STORE001,India,1539,1858,1020,88910
STORE001,India,1441,1723,330,57860
STORE001,India,1572,1884,1410,42670
STORE001,India,1287,1525,1200,90180
STORE001,India,1468,1760,280,51280
STORE001,India,1931,2342,940,97260
STORE001,India,1252,1506,850,39650
STORE001,India,1238,1468,960,45720
STORE001,India,1479,1758,420,42060
STORE001,India,1590,1912,830,65350
STORE001,India,2169,2617,600,67080
STORE001,India,1838,2205,400,54030
STORE001,India,1385,1655,760,56360
STORE001,India,1921,2305,1470,77120
STORE001,India,1975,2385,500,50810
STORE001,India,1853,2235,1120,60960
STORE001,India,1816,2171,1160,61180
STORE001,India,1785,2147,820,63660
STORE001,India,1579,1899,1140,41190
STORE001,India,1096,1321,900,78420
STORE001,India,1919,2294,760,65580
STORE001,India,1262,1500,1170,89080
STORE001,India,1374,1655,1080,94170
STORE001,India,1309,1587,1000,50950
STORE001,India,1207,1434,690,65180
STORE001,India,1692,2031,810,69310
STORE001,India,1929,2311,630,79210
STORE001,India,1573,1878,650,23740
STORE001,India,1415,1700,920,36330
STORE001,India,1162,1382,1260,51700
STORE001,India,1485,1787,800,62950
STORE001,India,1897,2248,1330,56010
STORE001,India,1607,1927,940,45080
STORE001,India,1909,2287,1210,46830
STORE001,India,1274,1503,660,64750
STORE001,India,1157,1379,770,80780
STORE001,India,1712,2046,460,31180
STORE001,India,1500,1798,860,56710
STORE001,India,1682,2017,780,49390
STORE001,India,1441,1727,890,66000
STORE001,India,1525,1835,900,32770
STORE001,India,1408,1669,530,46580
STORE001,India,1947,2333,790,79780
STORE001,India,1164,1390,370,35510
STORE001,India,1787,2137,610,80970
STORE001,India,1871,2241,500,61150
STORE001,India,1718,2051,750,49210
STORE001,India,1365,1636,980,79950
STORE001,India,1368,1654,530,68740
STORE001,India,1342,1595,910,57480
STORE001,India,1076,1270,620,72630
STORE001,India,1396,1672,1170,50070
STORE001,India,1713,2071,900,40490
STORE001,India,1370,1638,980,51850
STORE001,India,1667,1993,740,42840
STORE001,India,1638,1972,810,60940
STORE001,India,1581,1905,810,62280
STORE001,India,1795,2187,300,76530
STORE001,India,1179,1412,790,85130
STORE001,India,1978,2374,800,48590
STORE001,India,1688,2042,760,73080
STORE001,India,1214,1456,530,48950
STORE001,India,1504,1805,540,48560
STORE001,India,1498,1770,620,59380
STORE001,India,1462,1762,1010,51190
STORE001,India,1442,1750,130,58920
STORE001,India,1250,1486,730,50360
STORE001,India,1229,1480,830,38070
STORE001,India,1936,2300,1060,49170
STORE001,India,1369,1629,770,39740
STORE001,India,1662,1986,70,63730
STORE001,India,1548,1855,670,85330
STORE001,India,1649,1963,490,27410
STORE001,India,1393,1663,670,37320
STORE001,India,1450,1734,380,71120
STORE001,India,1613,1921,1200,72800
STORE001,India,1408,1696,350,34410
STORE001,India,775,932,1090,42530
STORE001,India,1275,1534,1230,54300
STORE001,India,1740,2078,680,50780
STORE001,India,1372,1657,580,45020
STORE001,India,1414,1723,680,69600
STORE001,India,2044,2474,340,80340
STORE001,India,1823,2176,700,37810
STORE001,India,955,1133,580,46140
STORE001,India,1465,1763,680,99570
STORE001,India,1331,1606,630,38650
STORE001,India,1232,1487,860,49800
STORE001,India,1481,1765,490,69910
STORE001,India,1343,1599,870,44910
STORE001,India,1539,1837,990,78470
STORE001,India,1007,1207,670,47460
STORE001,India,1762,2145,490,33460
STORE001,India,1527,1832,580,44090
STORE001,India,1356,1619,700,42620
STORE001,India,1536,1848,670,69450
STORE001,India,1605,1902,390,73120
STORE001,India,1704,2032,590,48300
STORE001,India,1626,1941,1350,58090
STORE001,India,1612,1939,840,74250
STORE001,India,1174,1396,1100,40930
STORE001,India,1923,2339,950,70930
STORE001,India,1702,2053,950,64670
STORE002,Africa,1398,1692,650,77420
STORE002,Africa,1437,1717,230,32330
STORE002,Africa,1524,1796,1060,41080
STORE002,Africa,1660,1985,1180,42860
STORE002,Africa,1302,1569,710,68450
STORE002,Africa,1666,2000,480,39730
STORE002,Africa,1391,1649,810,83750
STORE002,Africa,1778,2148,1140,69940
STORE002,Africa,1462,1770,1070,67710
STORE002,Africa,1751,2115,790,67360
STORE002,Africa,1652,1982,690,52460
STORE002,Africa,1841,2215,610,88760
STORE002,Africa,1496,1791,1240,67030
STORE002,Africa,1504,1827,840,78230
STORE002,Africa,1524,1808,460,62270
STORE002,Africa,1148,1371,940,49760
STORE002,Africa,1468,1744,590,73660
STORE002,Africa,1310,1558,890,72320
STORE002,Africa,1321,1579,770,68890
STORE002,Africa,992,1192,900,34180
STORE002,Africa,1540,1857,1020,58260
STORE002,Africa,1807,2149,910,38120
STORE002,Africa,1526,1853,660,49070
STORE002,Africa,1406,1677,480,61660
